"id","idCommentaireOriginal","texte","type"
1,0,"Un séjour absolument parfait, merci pour tout !",1
2,1,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
3,2,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
4,1,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
5,4,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
6,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
7,6,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
8,7,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
9,6,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
10,9,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
11,0,"Exceptionnel sur tous les points, je recommande vivement.",1
12,11,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
13,12,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
14,11,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
15,14,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
16,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
17,16,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
18,17,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
19,16,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
20,19,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
21,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
22,21,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
23,22,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
24,21,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
25,24,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
26,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
27,26,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
28,27,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
29,26,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
30,29,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
31,0,"Exceptionnel sur tous les points, je recommande vivement.",1
32,31,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
33,32,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
34,31,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
35,34,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
36,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
37,36,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
38,37,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
39,36,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
40,39,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
41,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
42,41,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
43,42,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
44,41,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
45,44,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
46,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
47,46,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
48,47,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
49,46,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
50,49,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
51,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
52,51,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
53,52,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
54,51,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
55,54,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
56,0,"Exceptionnel sur tous les points, je recommande vivement.",1
57,56,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
58,57,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
59,56,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
60,59,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
61,0,"Exceptionnel sur tous les points, je recommande vivement.",1
62,61,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
63,62,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
64,61,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
65,64,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
66,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
67,66,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
68,67,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
69,66,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
70,69,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
71,0,"Exceptionnel sur tous les points, je recommande vivement.",1
72,71,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
73,72,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
74,71,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
75,74,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
76,0,"Exceptionnel sur tous les points, je recommande vivement.",1
77,76,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
78,77,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
79,76,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
80,79,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
81,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
82,81,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
83,82,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
84,81,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
85,84,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
86,0,"Exceptionnel sur tous les points, je recommande vivement.",1
87,86,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
88,87,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
89,86,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
90,89,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
91,0,"Exceptionnel sur tous les points, je recommande vivement.",1
92,91,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
93,92,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
94,91,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
95,94,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
96,0,"Un séjour absolument parfait, merci pour tout !",1
97,96,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
98,97,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
99,96,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
100,99,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
101,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
102,101,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
103,102,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
104,101,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
105,104,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
106,0,"Un séjour absolument parfait, merci pour tout !",1
107,106,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
108,107,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
109,106,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
110,109,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
111,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
112,111,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
113,112,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
114,111,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
115,114,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
116,0,"Un séjour absolument parfait, merci pour tout !",1
117,116,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
118,117,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
119,116,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
120,119,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
121,0,"Exceptionnel sur tous les points, je recommande vivement.",1
122,121,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
123,122,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
124,121,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
125,124,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
126,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
127,126,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
128,127,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
129,126,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
130,129,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
131,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
132,131,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
133,132,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
134,131,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
135,134,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
136,0,"Un séjour absolument parfait, merci pour tout !",1
137,136,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
138,137,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
139,136,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
140,139,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
141,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
142,141,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
143,142,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
144,141,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
145,144,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
146,0,"Un séjour absolument parfait, merci pour tout !",1
147,146,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
148,147,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
149,146,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
150,149,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
151,0,"Exceptionnel sur tous les points, je recommande vivement.",1
152,151,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
153,152,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
154,151,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
155,154,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
156,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
157,156,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
158,157,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
159,156,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
160,159,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
161,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
162,161,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
163,162,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
164,161,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
165,164,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
166,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
167,166,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
168,167,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
169,166,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
170,169,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
171,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
172,171,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
173,172,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
174,171,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
175,174,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
176,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
177,176,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
178,177,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
179,176,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
180,179,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
181,0,"Exceptionnel sur tous les points, je recommande vivement.",1
182,181,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
183,182,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
184,181,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
185,184,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
186,0,"Un séjour absolument parfait, merci pour tout !",1
187,186,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
188,187,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
189,186,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
190,189,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
191,0,"Exceptionnel sur tous les points, je recommande vivement.",1
192,191,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
193,192,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
194,191,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
195,194,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
196,0,"Exceptionnel sur tous les points, je recommande vivement.",1
197,196,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
198,197,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
199,196,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
200,199,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
201,0,"Un séjour absolument parfait, merci pour tout !",1
202,201,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
203,202,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
204,201,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
205,204,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
206,0,"Exceptionnel sur tous les points, je recommande vivement.",1
207,206,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
208,207,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
209,206,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
210,209,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
211,0,"Un séjour absolument parfait, merci pour tout !",1
212,211,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
213,212,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
214,211,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
215,214,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
216,0,"Un séjour absolument parfait, merci pour tout !",1
217,216,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
218,217,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
219,216,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
220,219,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
221,0,"Un séjour absolument parfait, merci pour tout !",1
222,221,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
223,222,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
224,221,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
225,224,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
226,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
227,226,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
228,227,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
229,226,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
230,229,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
231,0,"Un séjour absolument parfait, merci pour tout !",1
232,231,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
233,232,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
234,231,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
235,234,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
236,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
237,236,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
238,237,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
239,236,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
240,239,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
241,0,"Un séjour absolument parfait, merci pour tout !",1
242,241,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
243,242,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
244,241,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
245,244,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
246,0,"Exceptionnel sur tous les points, je recommande vivement.",1
247,246,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
248,247,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
249,246,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
250,249,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
251,0,"Un séjour absolument parfait, merci pour tout !",1
252,251,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
253,252,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
254,251,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
255,254,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
256,0,"Exceptionnel sur tous les points, je recommande vivement.",1
257,256,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
258,257,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
259,256,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
260,259,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
261,0,"Exceptionnel sur tous les points, je recommande vivement.",1
262,261,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
263,262,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
264,261,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
265,264,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
266,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
267,266,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
268,267,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
269,266,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
270,269,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
271,0,"Exceptionnel sur tous les points, je recommande vivement.",1
272,271,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
273,272,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
274,271,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
275,274,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
276,0,"Exceptionnel sur tous les points, je recommande vivement.",1
277,276,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
278,277,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
279,276,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
280,279,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
281,0,"Exceptionnel sur tous les points, je recommande vivement.",1
282,281,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
283,282,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
284,281,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
285,284,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
286,0,"Un séjour absolument parfait, merci pour tout !",1
287,286,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
288,287,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
289,286,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
290,289,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
291,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
292,291,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
293,292,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
294,291,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
295,294,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
296,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
297,296,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
298,297,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
299,296,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
300,299,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
301,0,"Exceptionnel sur tous les points, je recommande vivement.",1
302,301,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
303,302,"Nous vous remercions chaleureusement pour vos mots et attendons votre retour avec impatience.",1
304,301,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
305,304,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
306,0,"Un séjour absolument parfait, merci pour tout !",1
307,306,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
308,307,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
309,306,"Nous sommes ravis de lire votre satisfaction ! Merci d'avoir choisi notre établissement.",1
310,309,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
311,0,"Exceptionnel sur tous les points, je recommande vivement.",1
312,311,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
313,312,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
314,311,"Votre enthousiasme est notre meilleure récompense. Nous avons hâte de vous accueillir à nouveau.",1
315,314,"C'est toujours un plaisir de servir nos clients. À très bientôt !",1
316,0,"Service impeccable, accueil chaleureux, je ne pouvais pas espérer mieux.",1
